name,state,agency,detail_url,capacity,acres,facility_type,warden,street_address,mailing_address,city,zip_code,county,phone,security_level,square_feet,staff_count,latitude,longitude
Bledsoe County Correctional Complex,Tennessee,Tennessee Department of Correction (TDOC),https://www.tn.gov/content/tn/correction/state-prisons/state-prison-list/bledsoe-count-correctional-complex.html,2265.0,500.0,Correctional Complex,,,,,,,,,,,,
Morgan County Correctional Complex,Tennessee,Tennessee Department of Correction (TDOC),https://www.tn.gov/content/tn/correction/state-prisons/state-prison-list/morgan-county-correctional-complex.html,2128.0,65.0,Correctional Complex,Shawn Phillips,541 Wayne Cotton Morgan Drive,P.O. Box 2000,Wartburg,37887,Morgan County,(423) 346-1300,Maximum,500000.0,800.0,36.1101391,-84.5411922
Northeast Correctional Complex,Tennessee,Tennessee Department of Correction (TDOC),https://www.tn.gov/content/tn/correction/state-prisons/state-prison-list/northeast-correctional-complex.html,1395.0,,Correctional Complex,Brian Eller,5249 Highway,P.O. Box 5000,Mountain City,37683-5000,Johnson County,(423) 727-7387,,,,36.4745636,-81.80483799999999
Debra K. Johnson Rehabilitation Center,Tennessee,Tennessee Department of Correction (TDOC),https://www.tn.gov/content/tn/correction/state-prisons/state-prison-list/debra-k--johnson-rehabilitation-center.html,,,Rehabilitation Center,,3881 Stewarts Lane,,Nashville,37243-0468,Davidson County,(615) 741-1255,,,,36.1925122,-86.8617805
Lois M. DeBerry Special Needs Facility,Tennessee,Tennessee Department of Correction (TDOC),https://www.tn.gov/content/tn/correction/state-prisons/state-prison-list/lois-m-deberry-special-needs-facility.html,,,Special Needs Facility,James M. Holloway,7575 Cockrill Bend Boulevard,,Nashville,37209-1057,Davidson County,(615) 350-2700,,,,36.1897532,-86.898158
Riverbend Maximum Security Institution,Tennessee,Tennessee Department of Correction (TDOC),https://www.tn.gov/content/tn/correction/state-prisons/state-prison-list/riverbend-maximum-security-institution.html,786.0,132.0,Correctional Facility,Kenneth Nelsen,7475 Cockrill Bend Boulevard,,Nashville,37243-0471,Davidson County,(615) 350-3100,Maximum,320000.0,,36.1861067,-86.90007779999999
Turney Center Industrial Complex,Tennessee,Tennessee Department of Correction (TDOC),https://www.tn.gov/content/tn/correction/state-prisons/state-prison-list/turney-center-industrial-complex.html,1574.0,,Industrial Complex,Taurean James,,,Only,37140-4050,Hickman County,(931) 729-5161,,,,,
Mark Luttrell Transition Center,Tennessee,Tennessee Department of Correction (TDOC),https://www.tn.gov/content/tn/correction/state-prisons/state-prison-list/mark-luttrell-transition-center.html,,,Transition Center,Henry Holiday,6000 State Road,,Memphis,38134,Shelby County,(901) 372-2080,,,,35.1560191,-89.8624942
Northwest Correctional Complex,Tennessee,Tennessee Department of Correction (TDOC),https://www.tn.gov/content/tn/correction/state-prisons/state-prison-list/northwest-correctional-complex.html,,,Correctional Complex,Stanton Heidle,,,Tiptonville,38079,Lake County,(731) 253-5000,,,,,
West Tennessee State Penitentiary,Tennessee,Tennessee Department of Correction (TDOC),https://www.tn.gov/content/tn/correction/state-prisons/state-prison-list/west-tennessee-state-penitentiary.html,980.0,,State Penitentiary,Johnny Fitz,480 Green Chapel Road,P.O. Box 1150,Henning,38041-1150,Lauderdale County,(731) 738-5044,Maximum,,,35.6701062,-89.74334180000001
Women's Therapeutic Residential Center,Tennessee,Tennessee Department of Correction (TDOC),https://www.tn.gov/content/tn/correction/state-prisons/state-prison-list/west-tennessee-state-penitentiary/women-s-therapeutic-residential-center.html,1036.0,,Therapeutic Facility,Stanley Dickerson,480 Green Chapel Road,P.O. Box 1150,Henning,38041-1150,Lauderdale County,(731) 738-5044,,,,35.6701062,-89.74334180000001
Hardeman County Correctional Facility,Tennessee,Tennessee Department of Correction (TDOC),https://www.tn.gov/content/tn/correction/state-prisons/state-prison-list/hardeman-county-correctional-facility.html,,,Correctional Facility,Demetric Godfrey,2520 Union Springs Road,P.O. Box 549,Whiteville,38075,Hardeman County,(731) 254-6000,Medium,,,35.2871928,-89.1604831
South Central Correctional Facility,Tennessee,Tennessee Department of Correction (TDOC),https://www.tn.gov/content/tn/correction/state-prisons/state-prison-list/south-central-correctional-facility.html,,,Correctional Facility,Grady Perry,555 Forest Avenue,P.O. Box 279,Clifton,38425-0279,Wayne County,(931) 676-2800,,,,35.3672924,-87.9989483
Trousdale Turner Correctional Center,Tennessee,Tennessee Department of Correction (TDOC),https://www.tn.gov/content/tn/correction/state-prisons/state-prison-list/trousdale-turner-correctional-center.html,,,Correctional Center,"Allen Beard, Jr.",140 Macon Way,,Hartsville,37074,Trousdale County,(615) 808-0400,Medium,,,36.3515365,-86.09190129999999
Whiteville Correctional Facility,Tennessee,Tennessee Department of Correction (TDOC),https://www.tn.gov/content/tn/correction/state-prisons/state-prison-list/whiteville-correctional-facility.html,,,Correctional Facility,Robert Adams Jr.,1440 Union Springs Road,P.O. Box 679,Whiteville,38075,Hardeman County,(731) 254-9400,,,,35.2994081,-89.15314509999999
