name,unit_code,operator,gender,facility_type,region,city,county,facility_url,jurisdiction,agency,unit_full_name,family_liaison,date_established,total_employees,security_employees,non_security_employees,windham_employees,medical_employees,capacity,custody_levels,acreage,agricultural_ops,manufacturing_ops,facility_ops,additional_ops,medical_capabilities,educational_programs,additional_programs,community_work,volunteer_initiatives,street_address,parsed_city,state,zip_code,phone,location_description,senior_warden,latitude,longitude
Allred,JA,CID,Male,Prison,V,Iowa Park,Wichita,https://www.tdcj.texas.gov/unit_directory/ja.html,Texas,TDCJ,James V. Allred Unit,Arlene Franco,June 1995,687,108,108,13,Medical = 64; Mental Health = 9,"4,438","G1-G5, Safekeeping, Security Detention",320,"Security Horses, Security Pack Canines, Unit Garden",None,Unit Maintenance,Scent-Specific Canines,"Ambulatory medical, dental and mental health services. Medical care available 24 hours a day, seven days a week. Fully staffed 13-bed infirmary, including two  mental health crisis management beds and hospice care. Telemedicine Services available. All services on a single level, including assisted disability services (ADS) showers, chronic care clinic, and CPAP accommodating housing. Managed by Texas Tech.","Literacy, (Adult Basic Education/GED) Special Education, CHANGES/Pre-Release, Cognitive Intervention; Career and Technology Programs: Automotive Specialization (Air Conditioning); Bricklaying/Stone Masonry; Small Engine Repair; Electrical Trades","Faith-Based Dormitory, Adult Education Program (upon availability), Life Decisions Program, Peer Education, Reentry Planning, Chaplaincy Services, GO KIDS Initiative, Crime Stoppers, Community Tours","Services provided to city agencies, local organizations, the Texas Department of Transportation, and Texas Parks and Wildlife","Literacy/Education, Employment/Job Skills, Substance Abuse Education, Life Skills, Parent Training, Support Groups, Victims Awareness, Religious/Faith-Based Studies and Activities",James V. Allred Unit,Iowa Park,TX,76367,(940) 855-7477,Four miles northwest of Wichita Falls on FM 369 North in Wichita County,,33.9745196,-98.5951858
Bartlett,BL,CID,Male,Prison,IV,Bartlett,Williamson,https://www.tdcj.texas.gov/unit_directory/bl.html,Texas,TDCJ,Bartlett Unit,,October 1995,199,34,34,,,"1,049","G1-G2, Transient, Restrictive Housing",62,None,None,Unit Maintenance,,"Ambulatory medical, dental, and mental health services. All services on a single level, including CPAP accommodating housing. Manages by UTMB.","Adult Basic Education, GED, CHANGES/Pre-Release, THRIVE (Windham and TDCJ partnership).","Adult Education Program (upon availability), Peer Education, Chaplaincy Services, Community Tours",None,"Substance Abuse Education, Life Skills, Parent Training, Religious/Faith-Based Studies and Activities",Bartlett Unit,Bartlett,TX,76511,(254) 527-4218,"1018 Arnold Drive, west of Bartlett, in northern Williamson County",Lorie Larson,30.79383069999999,-97.44379119999999
Baten,NJ,CID,Male,ISF,V,Pampa,Gray,https://www.tdcj.texas.gov/unit_directory/nj.html,Texas,TDCJ,Baten Intermediate Sanction Facility,,April 1995,29,7,7,0,Medical = 10; Mental Health = 1,188,IS,"1,211 (Co-located)",None,None,Unit Maintenance,None,Ambulatory medical and dental services. Telemedicine Services. Managed by Texas Tech.,Cognitive Intervention,None,None,None,Baten Intermediate Sanction Facility,Pampa,TX,79065,(806) 665-7070,"Seven miles east of Pampa on Hwy 60, two miles north on CR 12 in Gray County",,35.56499549999999,-100.8918805
Bell,CV,CID,Male,Pre-Release,III,Cleveland,Liberty,https://www.tdcj.texas.gov/unit_directory/cv.html,Texas,TDCJ,Oliver J. Bell Unit,,September 1989,134,28,28,,Medical = 6; Mental Health = 0,520,"G1, G2",39,None,None,Unit Maintenance,None,Ambulatory medical and dental services. Telemedicine Services available. Managed by UTMB.,"Adult Basic Education, GED, Pre-GED, Life Skills, Pre-Release Classes, Counseling and Pre-Employment Curriculum; Lee College Vocational: Micro-Computer Applications","Adult Education Program (upon availability), Peer Education, Chaplaincy Services, Faith-Based Dormitory, Prison Entrepreneurship Program (PEP)",Services provided to local organizations,"Employment/Job Skills, Substance Abuse Education, Life Skills, Support Groups, Religious/Faith-Based Studies and Activities",Oliver J. Bell Unit,Cleveland,TX,77327,(281) 592-9559,"901 East Fifth Street, one quarter mile north of downtown Cleveland in Liberty County",Tina Tompkins,30.3651011,-95.07338419999999
Beto,B,CID,Male,Prison,II,Tennessee Colony,Anderson,https://www.tdcj.texas.gov/unit_directory/b.html,Texas,TDCJ,George Beto Unit,Rachel Rowland,June 1980,472,116,116,21,Medical = 61; Mental Health = 4,"3,471","G1-G4, Security Detention, Outside Trusty, Transient","20,528 (Co-located with Coffield, Gurney, Michael, and Powledge)","Beto, Coffield, Gurney, Michael, and Powledge work in cooperation: Feed mill and Grain Storage, Farm Shop, Cow/Calf Operation, Poultry Laying Operation, Swine Farrowing/Nursery/Finishing Operations, Pork Processing Plant, Security Horses, Security Pack Canines, Edible and Field Crops, and Unit Garden.",Metal Sign Plant,"Region II (Northern Region) Maintenance Headquarters, Unit Maintenance",Northern Region Offender Transportation; Scent-Specific Canines; Narcotic Canines; Laundry services provided for the Gurney Unit.,"Ambulatory medical, dental, and mental health services. Medical care available 24 hours, seven days a week. Forty-six bed assisted living infirmary, including two respiratory isolation rooms. Physical therapy, brace and limb clinic, chronic care clinic, Telemedicine, and Digital Medical Services (DMS) available. All services on a single level, including CPAP accommodating housing. Managed by UTMB.","Literacy (Adult Basic Education/GED), Special Education, CHANGES/Pre-Release, English as a Second Language, Cognitive Intervention; Career and Technology Programs: Mill and Cabinetmaking; Bricklaying/Stone Masonry; Construction Carpentry; Piping Trades/Plumbing; Welding; Trinity Valley Community College Vocational: Business Computers; Drafting; Electrical Technology; Electronics","Faith-Based Dormitory, Adult Education Program (upon availability), Life Decisions Program, Peer Education, Reentry Planning, Chaplaincy Services, GO KIDS Initiative, Community Tours",Services provided to area school districts and local organizations.,"Literacy/Education, Employment/Job Skills, Substance Abuse Education, Life Skills, Parent Training, Support Groups, Religious/Faith-Based Studies and Activities, Post-Release Housing",George Beto Unit,Tennessee Colony,TX,75880,(903) 928-2217,Six miles south of Tennessee Colony on FM 3328 in Anderson County,,31.7542808,-95.8255018
Boyd,BY,CID,Male,Prison,I,Teague,Freestone,https://www.tdcj.texas.gov/unit_directory/by.html,Texas,TDCJ,William R. Boyd Unit,,August 1992,298,47,47,12,Medical = 17; Mental Health = 3,"1,372","G1, G2, G4, Safekeeping",734,"Security Horses, Security Pack Canines, Unit Garden",None,Unit Maintenance,Windham Region II Administrative Office; Laundry Services provided to the local Texas Juvenile Justice Department facility.,"Ambulatory medical, dental, and mental health services. Twelve-bed single cell housing area with  wheelchair accommodations. Telemedicine and Digital Medical Services (DMS)  available. All services on a single level, including assisted disability services (ADS) showers and CPAP accommodating housing. Managed by UTMB.","Literacy (Adult Basic Education/GED),  CHANGES/Pre-Release,  Cognitive Intervention; Career and Technology Programs: Automotive Specialization (Transmission); Construction Carpentry; Landscape Design, Construction and Maintenance","Faith-Based Dormitory, Adult Education Program (upon availability), Reentry Planning,  Peer Education,  Chaplaincy Services, GO KIDS Initiative","Services provided to city and county agencies, local organizations, and Texas Parks and Wildlife.","Substance Abuse Education, Support Groups, Life Skills, Religious/Faith-Based Studies and Activities",William R. Boyd Unit,Teague,TX,75860-2007,(254) 739-5555,"Four  miles west of Fairfield on Highway 84, Spur 113 in Freestone County",,31.6271145,-96.28386200000001
Bradshaw,BH,CID,Male,State Jail,II,Henderson,Rusk,https://www.tdcj.texas.gov/unit_directory/bh.html,Texas,TDCJ,James Bradshaw State Jail,,July 1995,266,43,43,20,Medical = 19; Mental Health = 2,"1,828","G1, G2",100,None,None,Unit Maintenance,None,"Ambulatory medical, dental, and mental health services. Telemedicine and Digital Medical Services (DMS) available. All services on a single level, including CPAP accommodating housing. Managed by UTMB.","Adult Basic Education, GED, Life Skills/Pre-Release Vocational Programs: Carpentry; Electrical Trades; Masonry","Faith-Based Dormitory, Adult Education Program (upon availability), Chaplaincy Services",Services provided to city and county agencies and area school districts..,"Literacy/Education, Employment/Job Skills, Life Skills, Parent Training, Support Groups, Substance Abuse Education, Religious/Faith-Based Studies and Activities",James Bradshaw State Jail,Henderson,TX,75653,(903) 655-0880,"3900 West Loop 571 North, one mile north of Henderson on Loop 571 in Rusk County",,32.1840335,-94.814364
Bridgeport,BR,CID,Male,Prison,V,Bridgeport,Wise,https://www.tdcj.texas.gov/unit_directory/br.html,Texas,TDCJ,Bridgeport Correctional Center,,August 1989,117,22,22,,Medical = 9; Mental Health = 0,520,"G1, G2",38,None,None,Unit Maintenance,None,Ambulatory medical and dental services. Telemedicine Services available. Managed by UTMB.,"Adult Basic Education, Pre-GED, GED, CHANGES/Pre-Release; Vocational Programs: Computer Education","Faith-Based Dormitory, Adult Education Program (upon availability), Chaplaincy Services",Services provided to city agencies.,"Substance Abuse Education, Support Groups, Mentoring, Religious/Faith-Based Studies and Activities",Bridgeport Correctional Center,Bridgeport,TX,76426,(940) 683-3010,One mile off Highway 380 on Tenth Street in Wise County,,33.2360654,-97.7578653
Briscoe,DB,CID,Male,Prison,IV,Dilley,Frio,https://www.tdcj.texas.gov/unit_directory/db.html,Texas,TDCJ,Dolph Briscoe Unit,,January 1992,233,42,42,14,Medical = 12; Mental Health = 0,"1,216","G1, G2, G4",426,"Security Horses, Security Pack Canines, Edible Crops, Texas Gleaning Project",None,Unit Maintenance,None,"Ambulatory medical and dental services available. All services on  a single level, including CPAP accommodating housing. Telemedicine and Digital Medical Services (DMS) available. Managed by UTMB.","Literacy (Adult Basic Education/GED), Special Education, CHANGES/Pre-Release, English as a Second Language, Cognitive Intervention; Career and Technology Programs: Construction Carpentry; Electrical Trades; Landscape Design, Construction and Maintenance; Southwest Texas Junior College Academic;  Southwest Texas Junior College Vocational: Construction Carpentry; Construction Carpentry II","Faith-Based Dormitory, Adult Education Program (upon availability), Peer Education, Chaplaincy Services, GO KIDS Initiative","Services provided to city agencies, the area food bank, local organizations, and Habitat for Humanity.","Literacy/Education, Substance Abuse Education, Employment/Job Skills, Support Groups, Life Skills, Religious/Faith-Based Studies and Activities",Dolph Briscoe Unit,Dilley,TX,78017,(830) 965-4444,One quarter  mile west of IH-35 on Highway 85 in Frio County,,28.661475,-99.19022249999999
Byrd,DU,CID,Male,Prison,I,Huntsville,Walker,https://www.tdcj.texas.gov/unit_directory/du.html,Texas,TDCJ,"James ""Jay"" H. Byrd Unit",,May 1964,282,68,68,0,Medical = 26; Mental Health = 3,"1,341","G1, G2, G3, G4, G5,  NR Transient, MH, State Jail, SK, II, MD, DP, PR, IT, OT, FT, Security Detention",82,"Hay Production, Horse Pasture Grazing",Outside Sales Warehouse; Modular Installation,Unit Maintenance,Central Region Offender Transportation,"Ambulatory medical, dental, and mental health services. Medical care available 24 hours a day, seven days a week. Digital Medical Services (DMS), electronic specialty clinics, and CPAP accommodating housing available.  Managed by UTMB.",None,"Adult Education Program (upon availability), Chaplaincy Services, Faith-Based Dormitory, GO KIDS Initiative, Reentry Planning",None,"Substance Abuse Education, Support Groups, Religious/Faith-Based Studies and Activities","James ""Jay"" H. Byrd Unit",Huntsville,TX,77320,(936) 295-5768,One  mile north of downtown Huntsville on FM 247 in Walker County,,30.7377829,-95.5550487
Clemens,CN,CID,Male,Prison,III,Brazoria,Brazoria,https://www.tdcj.texas.gov/unit_directory/cn.html,Texas,TDCJ,Clemens Unit,,1893,348,68,68,16,Medical = 11; Mental Health = 2,"1,215","G1-G4, Security Detention, Outside Trusty, Youthful Offenders","8,008","Beef Cattle Operation, Edible and Field Crops, Security Horses, Security Pack Canines, Swine Finishing Operation, Farm Shop, Grain Storage",None,Unit Maintenance,None,"Ambulatory medical, dental, and mental health services, Digital Medical Services (DMS), electronic specialty clinics, and CPAP accommodating housing available. Managed by UTMB.","Literacy (Adult Basic Education/GED), Special Education, Title I, CHANGES/Pre-Release, English as a Second Language, Cognitive Intervention; Career and Technology Programs: Bricklaying/Stone Masonry;  Construction Carpentry; Alvin Community College Vocational: Computer Repair; Drafting","Faith-Based Dormitory, Adult Education Program (upon availability), Life Decisions Program, Peer Education, Reentry Planning, Chaplaincy Services, Crime Stoppers, GO KIDS Initiative",Services provided to city and county agencies and Habitat for Humanity.,"Literacy/Education, Employment/Job Skills, Substance Abuse Education, Mentoring, Life Skills, Support Groups, Religious/Faith-Based Studies and Activities",Clemens Unit,Brazoria,TX,77422,(979) 798-2188,Intersection of FM 2004 and Hwy 36 in Brazoria County,,28.9904831,-95.5181374
Clements,BC,CID,Male,Prison,V,Amarillo,Potter,https://www.tdcj.texas.gov/unit_directory/bc.html,Texas,TDCJ,William P. Clements Unit,Stephanie Harp,March 1990,590,113,113,17,Medical = 86; Mental Health = 10,"3,182","G1-G5, Security Detention, Mental Health (PAMIO)",592 (Co-located with Neal),"Beef Processing Plant, Security Horses, Security Pack Canines, Unit Garden,  Texas Second Chance Program",Shoe Factory,Unit Maintenance,Scent-Specific Canines; Regional Release Site; Pre-Service and In-Service Training Academies,"Ambulatory medical, dental, and mental health services. Seventeen-bed infirmary with two mental health crisis management rooms and telemedicine center. Medical care available 24 hours. All services on a single level, including chronic care clinic and CPAP accommodating housing.  Specialty clinic for oral surgery.  Managed by Texas Tech.","Literacy (Adult Basic Education/GED), Special Education, CHANGES/Pre-Release, Cognitive Intervention; Career and Technology Programs: Automotive Specialization (Brakes); Diesel Mechanics","Faith-Based Dormitory, Adult Education Program (upon availability), Peer Education,  Reentry Planning, Chaplaincy Services, GO KIDS Initiative","Services provided to city and county agencies, local organizations, the area food bank, the Texas Department of Transportation, and Texas Parks and Wildlife.","Substance Abuse Education, Mentoring, Support Groups, Religious/Faith-Based Studies and Activities",William P. Clements Unit,Amarillo,TX,79107-9606,(806) 381-7080,East of Amarillo off of Loop 335 on Spur 591 in Potter County,,35.2403031,-101.7284083
Coffield,CO,CID,Male,Prison,II,Tennessee Colony,Anderson,https://www.tdcj.texas.gov/unit_directory/co.html,Texas,TDCJ,H. H. Coffield Unit,Kelli McNeill,June 1965,518,114,114,16,Medical = 30; Mental Health = 3,"4,139","G1-G4, Security  Detention, Outside Trusty","20,528 (Co-located with Gurney, Michael, Powledge, and Beto)","Coffield, Beto, Gurney, Michael, and Powledge work in cooperation: Feed mill and Grain Storage, Farm Shop, Cow/Calf Operation, Poultry Laying Operation, Swine Farrowing/Nursery/Finishing Operations, Pork Processing Plant, Security Horses, Security Pack Canines, Edible and Field Crops, and Unit Garden.",Metal Fabrication Plant,Unit Maintenance,None,"Ambulatory medical, dental, and mental health services. Medical care available 24 hours, seven days a week. Telemedicine, Digital Medical Services (DMS), chronic care clinic, and CPAP accommodating housing available. Managed by UTMB.","Literacy (Adult Basic Education/GED), Special Education, CHANGES/Pre-Release, English as a Second Language, Cognitive Intervention; Career and Technology Programs: Construction Carpentry; Business Computers; Automotive Mechanics; Cabinet Making (all provided as  non-credit courses by a college); Trinity Valley Community College Vocational: Data Processing; Drafting; Horticulture; Welding","Faith-Based Dormitory, Adult Education Program (upon availability), Peer Education, Reentry Planning, Chaplaincy Services, GO KIDS Initiative",Services provided to city and county agencies.,"Substance Abuse Education, Life Skills, Parent Training, Support Groups, Religious/Faith-Based Studies and Activities",H. H. Coffield Unit,Tennessee Colony,TX,75884,(903) 928-2211,Five miles southwest of Tennessee Colony on FM 2054 in Anderson County,,31.7902763,-95.8933227
Cole,CL,CID,Male,State Jail,II,Bonham,Fannin,https://www.tdcj.texas.gov/unit_directory/cl.html,Texas,TDCJ,Buster Cole State Jail,,August 1995,226,39,39,11,Medical = 11; Mental Health = 1,900,"J1-J5, G2, Transient",697 (Co-located with C. Moore),"Cole and C. Moore work in cooperation: Unit Garden, Contract Farming and Grazing, Security Horses, and Unit Food Bank Garden Program.",None,Unit Maintenance,None,"Ambulatory medical, dental, and mental health services. All services on single level, including CPAP accommodating housing. Managed by UTMB.","Literacy (Adult Basic Education/GED), CHANGES/Pre-Release, Cognitive Intervention; Career and Technology Programs: Electrical Trades; Heating, Ventilation, Air Conditioning and Refrigeration","Faith-Based Dormitory, Adult Education Program (upon availability), Fathers Reading Every Day (FRED), Chaplaincy Services, Community Tours, GO KIDS Initiative","Services provided to city agencies, local organizations, the area food bank,  the Texas Department of Transportation, and Texas Parks and Wildlife.","Substance Abuse Education, Literacy/Education, Support Groups, Employment/Job Skills, Life Skills, Parent Training, Religious/Faith-Based Studies and Activities, Storybook Project",Buster Cole State Jail,Bonham,TX,75418,(903) 583-1100,"Three miles west of Bonham, at the corner of FM 87 and Old Silo Road in Fannin County",,33.5773275,-96.1783111
